"site number","site location","Cluster","site acronym","date","sample type","TOC (mg/L)","DOC (mg/L)","UVA (cm-1)","suva (L/mg-m)","peak int","peak int WL","int at 450","int at 460","int at 500","FI (450/500)","docm comments"
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-08-16",NA,2.75,2.777,0.0793,0.028556,92.67,446.36,92.45,87.86,52.34,1.7663355,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-08-16",NA,1.934,1.845,0.0406,0.022005,48.65,448.62,48.23,45.52,27.28,1.76796188,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-08-16",NA,1.735,1.614,0.0412,0.025527,51.89,448.74,51.38,48.71,29,1.77172414,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-08-16",NA,1.775,1.626,0.0373,0.02294,47.95,447.02,47.52,44.38,26.25,1.81028571,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-08-17",NA,2.943,2.711,0.0549,0.020251,62.98,446.3,62.62,58.61,34.44,1.81823461,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-08-17",NA,2.733,2.613,0.0438,0.016762,43.73,445.18,42.67,39.6,22.4,1.90491071,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-08-17",NA,3.022,2.628,0.0551,0.020967,61.77,446.31,60.78,56.88,33.5,1.81432836,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-08-17",NA,2.601,2.528,0.0494,0.019541,57.62,445.62,56.42,53.6,31.28,1.80370844,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-08-17",NA,2.73,2.665,0.0497,0.018649,57.66,446.93,57.32,53.51,31.11,1.84249437,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-08-17",NA,2.445,2.282,0.0424,0.01858,51.21,442.47,50.83,47.42,26.58,1.91234011,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-08-17",NA,2.748,2.669,0.0514,0.019258,57.45,449.44,57.35,52.71,30.95,1.85298869,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-08-17",NA,2.94,2.849,0.0555,0.019481,62.38,443.24,61.8,57.56,34.07,1.81391253,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-08-17",NA,2.913,2.819,0.0553,0.019617,65.02,440.7,64.43,60.53,35.87,1.79620853,NA
"field_blank","field blank",NA,NA,"1999-08-18","field blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-08-18","lab blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-08-18",NA,2.87,2.937,0.0445,0.015152,41.6,446.09,40.74,38.04,21.59,1.88698472,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-08-18",NA,2.489,2.411,0.0477,0.019784,55.83,446.23,54.83,52.01,30.81,1.77961701,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-08-18",NA,2.358,2.306,0.0445,0.019297,50.37,441.74,49.66,45.86,26.82,1.85160328,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-08-18",NA,2.576,2.533,0.0516,0.020371,52.39,442.69,51.16,48.88,28.17,1.81611644,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-08-18",NA,2.379,2.306,0.0379,0.016435,37.6,450.29,37.59,35.37,19.94,1.88515547,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-08-18",NA,3.088,3.114,0.0451,0.014483,38.94,445.63,37.93,35.51,20.09,1.88800398,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-08-18",NA,2.881,2.844,0.0448,0.015752,44.05,441.09,43.63,40.26,23.27,1.87494628,NA
"R3","Waddell Canal","cap","waddell canal","1999-08-18",NA,2.716,2.714,0.0444,0.01636,44.82,446.01,44.53,40.98,23.95,1.85929019,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-08-18",NA,2.758,2.709,0.0435,0.016058,45.09,445.15,43.92,41.13,23.6,1.86101695,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-08-25",NA,1.01,0.947,0.032,0.033791,35.96,447.58,35.22,33.41,20.04,1.75748503,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-09-14",NA,2.471,2.428,0.075,0.03089,84.21,447.62,83.66,79.69,48.12,1.738570241,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-09-14",NA,2.061,1.988,0.041,0.020624,42.96,448.51,42.74,40.3,23.52,1.817176871,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-09-14",NA,1.932,1.916,0.045,0.023486,48.11,450.37,48.08,45.11,26.77,1.796040344,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-09-14",NA,1.688,1.69,0.043,0.025444,48.53,447.27,48.16,45.93,27.4,1.757664234,NA
"field_blank","field blank",NA,NA,"1999-09-15","field blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-09-15","lab blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-09-15",NA,2.833,2.599,0.053,0.020392,57.91,448.3,57.67,54.39,32.65,1.766309342,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-09-15",NA,2.758,2.618,0.043,0.016425,43.83,445.07,43.22,40.36,23.51,1.838366652,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-09-15",NA,2.6,2.537,0.052,0.020497,57.25,445.26,57.13,53.77,32.44,1.761097411,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-09-15",NA,2.574,2.553,0.052,0.020368,54.78,445.59,54.63,51.7,30.62,1.784128021,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-09-15",NA,2.654,2.51,0.05,0.01992,54.13,444.23,53.7,50.65,30.2,1.778145695,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-09-15",NA,2.449,2.281,0.043,0.018851,54.21,443.48,53.46,50.81,29.67,1.80182002,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-09-15",NA,2.745,2.687,0.056,0.020841,56.64,448.28,56,52.99,31.18,1.796023092,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-09-15",NA,3.453,2.995,0.056,0.018698,52.23,446,51.3,48.43,28.53,1.798107256,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-09-15",NA,3.1,2.999,0.056,0.018673,57.63,446.93,56.43,53.74,31.83,1.772855796,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-09-16",NA,2.776,2.72,0.044,0.016176,39.45,446.46,38.66,36.37,20.97,1.843586075,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-09-16",NA,2.907,2.669,0.059,0.022106,62.07,447.07,61.68,58.3,34.56,1.784722222,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-09-16",NA,2.365,2.208,0.039,0.017663,50.23,442.54,49.41,46.09,26.76,1.846412556,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-09-16",NA,2.92,2.57,0.051,0.019844,53.58,445.89,53.11,49.97,29.44,1.804008152,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-09-16",NA,2.488,2.312,0.04,0.017301,53.45,444.63,53.01,49.39,28.96,1.830455801,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-09-16",NA,3.186,3.068,0.046,0.014993,33.28,447.23,32.75,30.82,17.6,1.860795455,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-09-16",NA,2.828,2.697,0.045,0.016685,45.59,446.9,44.98,42.28,24.95,1.802805611,NA
"R3","Waddell Canal","cap","waddell canal","1999-09-16",NA,2.594,2.64,0.044,0.016667,45.57,447.39,45.2,42.38,24.47,1.847159787,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-09-16",NA,2.616,2.706,0.044,0.01626,44.41,445.75,44.13,40.94,23.86,1.849538977,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-09-29",NA,3.527,3.739,0.12,0.032094,126.66,448.16,126.49,120.53,74.54,1.7,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-10-12",NA,3.796,2.796,0.041,0.014663805,41.31,445.03,40.7,37.93,22.21,1.832507879,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-10-12",NA,3.415,3.332,0.044,0.013205282,38.47,442.8,37.66,35.61,20.41,1.845173934,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-10-12",NA,3.104,3.1,0.044,0.014193548,41.87,444.89,41.59,39.2,22.81,1.823323104,NA
"R3","Waddell Canal","cap","waddell canal","1999-10-12",NA,3.186,3.2,0.042,0.013125,40.35,445.5,39.73,37.23,21.45,1.852214452,NA
"R4","Cap Canal at 7th St.","cap","cap @ 7th st","1999-10-12",NA,2.782,2.818,0.04,0.014194464,40.99,444.5,40.49,38.03,22.18,1.825518485,NA
"field_blank","field blank",NA,NA,"1999-10-13","field blank",NA,0.196,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-10-13","lab blank",NA,0.118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-10-13",NA,2.806,3.09,0.043,0.013915858,43.08,448.25,42.79,40.17,23.5,1.820851064,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-10-13",NA,2.6,2.404,0.048,0.019966722,56.98,447.71,56.58,53.68,31.9,1.773667712,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-10-13",NA,2.704,2.397,0.047,0.019607843,56.7,445.11,55.73,53,31.68,1.75915404,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-10-13",NA,2.666,2.584,0.052,0.020123839,55.05,445.61,54.68,51.31,30.48,1.793963255,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-10-13",NA,2.22,2.277,0.034,0.014931928,45.3,443.19,44.49,42.15,24.46,1.81888798,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-10-13",NA,2.547,2.818,0.049,0.017388219,54.96,445.43,54.05,51.49,30.35,1.780889621,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-10-13",NA,2.406,2.248,0.037,0.016459075,49.94,445.71,49.14,46.24,26.45,1.857844991,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-10-13",NA,2.493,2.808,0.047,0.016737892,54.15,448.04,53.58,50.17,29.72,1.80282638,NA
"R19","Val Vista WTP treated water","srp","val vista-treated","1999-10-13",NA,2.028,2.065,0.028,0.013559322,28.07,444.41,27.56,25.76,15,1.837333333,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-10-14",NA,2.786,2.84,0.055,0.019366197,62.07,446.18,61.67,58.46,34.63,1.780825874,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-10-14",NA,3.225,3.282,0.095,0.028945765,111.67,447.75,111.12,107.02,65.88,1.686703097,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-10-14",NA,2.279,2.225,0.049,0.022022472,56.86,445.73,56.2,53.34,31.88,1.762860728,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-10-14",NA,2.185,2.17,0.049,0.022580645,56.06,448.54,55.6,52.79,31.22,1.780909673,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-10-14",NA,2.298,2.199,0.052,0.023647112,60.73,449.93,60.73,57.35,34.14,1.778851787,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-10-14",NA,2.772,2.705,0.051,0.018853974,57.03,445.61,56,52.83,31.76,1.763224181,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-10-14",NA,2.949,3.025,0.052,0.017190083,58.21,444.55,57.66,54.21,32.31,1.784586815,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-10-14",NA,2.959,3.068,0.054,0.017601043,62.77,445.5,61.77,59.3,34.05,1.814096916,NA
"R20","Verde River at Tangle","verde","verde abv horseshoe","1999-10-30",NA,0.888,0.878,0.02,0.022779043,27.79,445.03,27.31,26.03,15.23,1.793171372,NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-11-15",NA,2.426,2.451,0.037,0.015095879,48.54,444.75,48.4,46.16,27.76,1.74351585,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-11-15",NA,3.065,3.016,0.042,0.013925729,36.59,443.19,35.81,33.29,19.58,1.828907048,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-11-15",NA,2.236,2.173,0.0465,0.021398988,57.32,445.81,56.86,54.37,32.76,1.735653236,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-11-15",NA,2.29,2.184,0.0472,0.021611722,57.19,446.2,56.5,53.65,32.2,1.754658385,NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-11-15",NA,3.303,3.234,0.053,0.016388374,53.75,443.14,53.17,50.25,29.93,1.77647845,NA
"R9A","Saguaro Lake near inlet","salt","saguaro-epi","1999-11-15",NA,3.323,3.249,0.0521,0.016035703,54.65,448.19,54.44,51.82,30.38,1.7919684,NA
"R9B","Saguaro Lake near inlet","salt","saguaro-hypo","1999-11-15",NA,3.453,3.126,0.0525,0.016794626,59.96,445.64,58.81,55.66,32.8,1.792987805,NA
"R1","CAP canal above Waddell Canal","cap","cap-siphon","1999-11-16",NA,2.895,2.775,0.0415,0.014954955,38.24,445.49,37.58,35.09,20.53,1.830491963,NA
"R2A","Lake Pleasant integrated sample","cap","pleasant-epi","1999-11-16",NA,3.326,3.244,0.046,0.014180025,39.59,441.94,38.77,36.73,21.23,1.826189355,NA
"R2B","Lake Pleasant integrated sample","cap","pleasant-hypo","1999-11-16",NA,3.181,3.166,0.0446,0.014087176,45.69,444.54,44.91,42.62,25.12,1.787818471,NA
"R3","Waddell Canal","cap","waddell canal","1999-11-16",NA,2.937,2.961,0.042,0.014184397,37.7,441.84,37.2,34.92,20.41,1.822635963,NA
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-11-16",NA,3.092,3.068,0.0746,0.024315515,84.01,444.04,83.96,79.33,48.05,1.747346514,NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-epi","1999-11-16",NA,2.806,2.78,0.0621,0.022338129,67.42,445.22,67.12,64.04,38.06,1.763531266,NA
"R6B","Bartlett Reservoir near outlet","verde","bartlett-hypo","1999-11-16",NA,2.862,2.716,0.0632,0.023269514,73.14,445.95,72.67,68.58,40.93,1.775470315,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-11-16",NA,3.007,3.08,0.0629,0.020422078,77.85,447.45,77.35,72.94,43.63,1.772862709,NA
"field_blank","field blank",NA,NA,"1999-11-17","field blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lab_blank","laboratory blank",NA,NA,"1999-11-17","lab blank",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R14","AZ Canal - Inlet to Squaw Peak WTP","srp","az canal @ squaw peak","1999-11-17",NA,2.724,2.569,0.0537,0.020903075,57.2,444.76,56.31,53.1,32.65,1.724655436,NA
"R15","Squaw Peak WTP treated water","srp","squaw peak-treated","1999-11-17",NA,2.184,2.107,0.0258,0.012244898,30.9,447.26,30.23,27.94,15.84,1.908459596,NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-11-17",NA,2.56,2.347,0.0494,0.021048147,57.83,445.6,57.55,54.34,32.94,1.747115968,NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-11-17",NA,2.427,2.361,0.0386,0.016349005,53.16,445.82,52.75,49.64,29.12,1.81146978,NA
"R18","South Canal at Val Vista WTP","srp","s canal @ val vista","1999-11-17",NA,2.866,2.477,0.0505,0.020387566,63.5,449.92,63.49,59.79,37.64,1.686769394,"south canal shut-down"
