"site number","site location","Cluster","site acronym","date","depth (m)","T (C)","DO (mg/l)","pH","Secchi Disk (m)","samples collected","comments"
"R5","Verde River btwn Horseshoe and Bartlett","verde","verde abv bartlett","1999-08-16",0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R6-10","Bartlett Reservoir near outlet","verde","bartlett-10m","1999-08-16",10,27.6,6.2,NA,NA,NA,NA
"R6-15","Bartlett Reservoir near outlet","verde","bartlett-15m","1999-08-16",15,21.5,0.3,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R6-20","Bartlett Reservoir near outlet","verde","bartlett-20m","1999-08-16",20,18.5,NA,NA,NA,NA,NA
"R6-25","Bartlett Reservoir near outlet","verde","bartlett-25m","1999-08-16",25,16.8,NA,NA,NA,NA,NA
"R6-30","Bartlett Reservoir near outlet","verde","bartlett-30m","1999-08-16",30,15.9,0.27,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R6-35","Bartlett Reservoir near outlet","verde","bartlett-35m","1999-08-16",35,15.8,NA,NA,NA,NA,NA
"R6-40","Bartlett Reservoir near outlet","verde","bartlett-40m","1999-08-16",40,15.9,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R6-45","Bartlett Reservoir near outlet","verde","bartlett-45m","1999-08-16",45,16,0.12,NA,NA,NA,NA
"R6-5","Bartlett Reservoir near outlet","verde","bartlett-5m","1999-08-16",5,28.1,8.82,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R6A","Bartlett Reservoir near outlet","verde","bartlett-0m","1999-08-16",0,28.7,7.8,NA,NA,NA,NA
"R7","Verde River below Bartlett Reservoir","verde","verde blw barlett","1999-08-16",0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R10","Salt River below Saguaro (Blue Point Bridge)","salt","salt blw saguaro","1999-08-17",0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con","1999-08-17",0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1999-08-17",0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1999-08-17",0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R16","AZ Canal - Inlet to Deer Valley WTP","srp","az canal @ deer valley","1999-08-17",0,30,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R17","Deer Valley WTP treated water","srp","deer valley-treated","1999-08-17",NA,NA,NA,NA,NA,"DOCM, MIB/GEO",NA
"R8","Salt River inlet to Saguaro Lake","salt","salt abv saguaro","1999-08-17",0,NA,NA,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
"R9-10","Saguaro Lake near inlet","salt","saguaro-10m","1999-08-17",10,24.5,0.6,NA,NA,"NUT, DOCM, MIB/GEO, PHYT",NA
