"Site Number","Site Location","Cluster","Site Acronym","date","E_coli","Coliform","Coliform_flag","Mycobacterium","Mycobacterium_flag","Comments"
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2014-06-02,37,462,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2014-06-02,29,378,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2014-06-02,21,530,NA,NA,NA,"TNTC = Too Numerous to Count"
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2014-06-02,45,552,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2014-06-02,17,574,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2014-06-02,13,93,NA,NA,NA,"CONT = Contaminated"
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2014-06-02,15,556,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-06-02,35,536,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-06-02,34,520,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-06-02,16,534,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-06-02,19,340,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2014-06-02,5,56,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2014-06-02,54,320,NA,NA,NA,"NCDC = Not Countable Due to Contamination"
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2014-07-07,24,304,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2014-07-07,18,260,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2014-07-07,18,496,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2014-07-07,48,240,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2014-07-07,16,330,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2014-07-07,50,548,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2014-07-07,34,462,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-07-07,36,474,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-07-07,52,440,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-07-07,20,390,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-07-07,158,548,NA,NA,NA,NA
"R3","Waddell Canal","cap","waddell canal",2014-07-07,0,23,NA,NA,NA,NA
"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP",2014-07-07,28,456,NA,NA,NA,NA
"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal",2014-08-05,20,390,NA,NA,NA,NA
"HTC","Head of the Tempe Canal","tempe","head of tempe canal",2014-08-05,18,444,NA,NA,NA,NA
"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87",2014-08-05,14,542,NA,NA,NA,NA
"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal",2014-08-05,4,444,NA,NA,NA,NA
"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima",2014-08-05,32,622,NA,NA,NA,NA
"R11","CAP Canal at Cross-connect","cap","cap @ x con",2014-08-05,2,548,NA,NA,NA,NA
"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow",2014-08-05,10,606,NA,NA,NA,NA
"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap",2014-08-05,10,462,NA,NA,NA,NA
"R21","AZ Canal at Central Av.","srp","az canal @ central ave.",2014-08-05,174,750,NA,NA,NA,NA
"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.",2014-08-05,28,522,NA,NA,NA,NA
"R25","verde river at beeline highway","verde","verde @ beeline",2014-08-05,436,628,NA,NA,NA,NA
