"Site Name","Site Location","Cluster","Site Acronym","Mib(ng/L)","Geosmin(ng/L)","Cyclocitral(ng/L)","TP (ug/L)","DOC (mg/L)","UVA(cm-1)","Suva(L/mg-m)","Conductance(us/cm)","TDN (mg/L)","date"
"APA1A","Apache Lake, upper","srp","Apache, epi, upper",0.54,0.79,0,62,5.5,0.03,0.8,1102,0.3,"2012-02-15"
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",6.5,0,0,14,3.8,0.03,0.8,1114,0.3,"2012-02-15"
"APA2A","Apache Lake, lower","srp","Apache, epi, lower",0.7,1,0,10,5.5,0.06,1.2,1202,0.4,"2012-02-15"
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",0.6,1,0,18,3.9,0.03,0.8,1101,0.4,"2012-02-15"
"Can1A","Canyon Lake, upper","srp","Canyon, epi, upper",1.1,0.79,0,62,3.8,0.03,0.8,1102,0.3,"2012-02-15"
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",12.76,13.87,0,28,4.6,0.03,0.7,1095,0.5,"2012-02-15"
"Can2A","Canyon Lake, lower","srp","Canyon, epi, lower",8.4,9.68,0,21.6,3.9,0.03,0.8,1097,0.4,"2012-02-15"
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",25.2,2,0,15.6,4.4,0.03,0.7,1096,0.5,"2012-02-15"
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, epi, upper",1,1.3,0,16.8,3.7,0.03,0.8,1387,0.3,"2012-02-15"
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",1.64,1.11,0,7.2,3.6,0.03,0.8,1393,0.3,"2012-02-15"
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, epi, lower",0.86,1.44,0,5.2,3.6,0.03,0.8,1352,0.3,"2012-02-15"
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",1,1.1,0,10,3.7,0.8,1,1491,0.4,"2012-02-15"
"APA1A","Apache Lake, upper","srp","Apache, epi, upper",4.5,4.2,0,28.2,6.3,0.1,1.2,993,0.6,"2012-05-16"
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",NA,NA,NA,19,4,0.1,1.7,1007,0.4,"2012-05-16"
"APA2A","Apache Lake, lower","srp","Apache, epi, lower",2.9,0,0,11.8,4.1,0.1,1.7,NA,0.3,"2012-05-16"
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",NA,NA,NA,9,3.8,0.1,1.8,NA,0.4,"2012-05-16"
"Can1A","Canyon Lake, upper","srp","Canyon, epi, upper",2.2,0,0,14.6,4.5,0.1,1.7,1005,0.5,"2012-05-16"
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",3.9,4.7,0,14.4,6.5,0.1,1.2,1009,1.1,"2012-05-16"
"Can2A","Canyon Lake, lower","srp","Canyon, epi, lower",NA,NA,NA,11.4,3.9,0.1,1.8,1009,0.4,"2012-05-16"
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",NA,NA,NA,13.8,3.8,0.1,1.8,1007,0.4,"2012-05-16"
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, epi, upper",NA,NA,NA,NA,4.6,NA,NA,1235,NA,"2012-05-16"
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",NA,NA,NA,NA,NA,NA,NA,1255,NA,"2012-05-16"
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, epi, lower",NA,NA,NA,NA,NA,NA,NA,1229,NA,"2012-05-16"
"Roos2B","Roosevelt Lake, lower","srp","Roosevelt, hypo, lower",1,1.1,0,10,3.7,0.03,0.8,1491,0.4,"2012-05-16"
"APA1A","Apache Lake, upper","srp","Apache, epi, upper",6.5,0,0,20,5.48,0.06,1.1,1203,0.42,"2012-08-15"
"APA1B","Apache Lake, upper","srp","Apache, hypo, upper",0,0,0,20,4.04,0.07,1.6,1265,0.44,"2012-08-15"
"APA2A","Apache Lake, lower","srp","Apache, epi, lower",2.8,0,0,10,5.46,0.06,1.2,1202,0.37,"2012-08-15"
"APA2B","Apache Lake, lower","srp","Apache, hypo, lower",0,0,0,10,4.19,0.07,1.6,1206,0.41,"2012-08-15"
"Can1A","Canyon Lake, upper","srp","Canyon, epi, upper",24.2,0,0,30,4,0.07,1.7,1199,0.4,"2012-08-15"
"Can1B","Canyon Lake, upper","srp","Canyon, hypo, upper",14.7,0,0,40,4.12,0.07,1.6,1204,0.45,"2012-08-15"
"Can2A","Canyon Lake, lower","srp","Canyon, epi, lower",25.2,2,0,30,4.09,0.07,1.7,1204,0.31,"2012-08-15"
"Can2B","Canyon Lake, lower","srp","Canyon, hypo, lower",14.3,0,0,30,3.63,0.06,1.7,1209,0.38,"2012-08-15"
"Roos1A","Roosevelt Lake, upper","srp","Roosevelt, epi, upper",35.4,0,0,20,4.44,0.058,1.3,1579,0.44,"2012-08-15"
"Roos1B","Roosevelt Lake, upper","srp","Roosevelt, hypo, upper",56.8,0,0,20,4.59,0.06,1.4,1637,0.41,"2012-08-15"
"Roos2A","Roosevelt Lake, lower","srp","Roosevelt, epi, lower",15.9,0,0,10,4.53,0.05,1.1,1393,0.43,"2012-08-15"
